user_id,date,total_sleep_minutes,sleep_latency,wake_after_sleep_minutes,bedtime_minutes,noise_level,stress_level,daily_steps,caffeine_intake,alcohol_intake,rating
1,2025-01-01,420,15,20,480,2,3,6500,1,0,4
1,2025-01-02,380,25,40,510,3,4,5000,1,0,3
1,2025-01-03,460,10,15,450,1,2,9000,0,0,5
2,2025-01-01,300,35,50,540,4,5,3000,2,1,2
2,2025-01-02,330,30,45,530,4,4,3500,2,1,2
2,2025-01-03,360,20,30,500,3,4,4500,1,1,3
3,2025-01-01,500,5,10,430,1,1,10000,0,0,5
3,2025-01-02,450,10,20,440,2,2,8000,0,0,4
3,2025-01-03,470,8,15,435,1,1,9500,0,0,5
4,2025-01-01,280,40,60,560,5,5,2000,3,2,1
4,2025-01-02,300,35,55,550,5,4,2500,2,2,2
4,2025-01-03,320,30,50,545,4,4,3000,2,1,2
